epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.277,1.21755,2.99332,1.11104,0.60935,0.72596,0.71749,0.58231,0.72823,1.6703,0.951,0.000206522,0.000206522,0.000206522
2,386.874,0.80709,1.27762,0.95379,0.92888,0.91853,0.97789,0.82033,0.65022,0.74758,0.94939,0.000410748,0.000410748,0.000410748
3,554.839,0.6811,0.88503,0.91107,0.96038,0.96115,0.98993,0.85692,0.56985,0.60477,0.91579,0.000610849,0.000610849,0.000610849
4,719.524,0.63902,0.77292,0.89684,0.96718,0.98156,0.9928,0.88311,0.51826,0.52251,0.90452,0.000606437,0.000606437,0.000606437
5,882.661,0.59434,0.68917,0.87887,0.96671,0.96673,0.99212,0.89607,0.45365,0.49979,0.89786,0.00060025,0.00060025,0.00060025
6,1044.4,0.54521,0.63601,0.8722,0.98711,0.98224,0.99372,0.90455,0.44287,0.45526,0.89623,0.000594062,0.000594062,0.000594062
7,1209.2,0.497,0.57124,0.85794,0.97792,0.98624,0.99365,0.91897,0.43658,0.44985,0.89554,0.000587875,0.000587875,0.000587875
8,1372.92,0.49532,0.55668,0.8503,0.98756,0.99164,0.99408,0.93723,0.34983,0.36911,0.88134,0.000581687,0.000581687,0.000581687
9,1537.45,0.47284,0.52402,0.84661,0.98823,0.98232,0.99327,0.94913,0.31717,0.37451,0.87061,0.0005755,0.0005755,0.0005755
10,1698.76,0.46532,0.50015,0.8476,0.98356,0.99101,0.99347,0.9413,0.35965,0.37953,0.87951,0.000569313,0.000569313,0.000569313
11,1863.97,0.44023,0.47317,0.84432,0.9852,0.98682,0.99212,0.92791,0.3805,0.40876,0.87514,0.000563125,0.000563125,0.000563125
12,2027.31,0.4233,0.45687,0.83984,0.98746,0.98874,0.9937,0.91936,0.40671,0.38743,0.88804,0.000556938,0.000556938,0.000556938
13,2192.94,0.42707,0.46214,0.83655,0.9869,0.99104,0.99377,0.94757,0.31676,0.32101,0.87097,0.00055075,0.00055075,0.00055075
14,2358,0.41719,0.44493,0.83145,0.98203,0.99219,0.99409,0.95013,0.31112,0.32231,0.87897,0.000544563,0.000544563,0.000544563
15,2529.26,0.40152,0.42409,0.82869,0.98437,0.99127,0.9934,0.95815,0.29415,0.32742,0.86822,0.000538375,0.000538375,0.000538375
16,2692.33,0.40885,0.41408,0.83125,0.99195,0.98914,0.99311,0.94984,0.32309,0.32403,0.87418,0.000532187,0.000532187,0.000532187
17,2855.71,0.38634,0.41187,0.82512,0.98614,0.99438,0.99472,0.95154,0.31814,0.28188,0.86651,0.000526,0.000526,0.000526
18,3018.21,0.38045,0.38974,0.82432,0.9907,0.9884,0.99435,0.962,0.27967,0.28863,0.86533,0.000519812,0.000519812,0.000519812
19,3180.9,0.38367,0.38564,0.82713,0.99192,0.9928,0.99463,0.9646,0.26045,0.267,0.86306,0.000513625,0.000513625,0.000513625
20,3353.17,0.37427,0.38428,0.82554,0.99337,0.98958,0.99416,0.96511,0.26029,0.28263,0.86271,0.000507438,0.000507438,0.000507438
21,3515.06,0.36271,0.3821,0.82217,0.98994,0.99404,0.99385,0.96809,0.26721,0.2931,0.85993,0.00050125,0.00050125,0.00050125
22,3679.76,0.3574,0.37491,0.81901,0.99221,0.9905,0.99345,0.96073,0.29266,0.28749,0.86469,0.000495063,0.000495063,0.000495063
23,3843.76,0.36877,0.37572,0.82229,0.99348,0.9889,0.99431,0.96761,0.2619,0.27353,0.85846,0.000488875,0.000488875,0.000488875
24,4007.57,0.36032,0.37339,0.82273,0.98344,0.9896,0.9937,0.97622,0.23389,0.274,0.85416,0.000482687,0.000482687,0.000482687
25,4172.15,0.35115,0.35492,0.82084,0.99075,0.99013,0.99403,0.96133,0.29766,0.30104,0.86347,0.0004765,0.0004765,0.0004765
26,4334.32,0.34904,0.35531,0.81983,0.98863,0.99261,0.9945,0.9514,0.32092,0.27196,0.86892,0.000470312,0.000470312,0.000470312
27,4497.29,0.34143,0.3402,0.81601,0.99186,0.99094,0.99455,0.95956,0.28552,0.27758,0.86692,0.000464125,0.000464125,0.000464125
28,4658.17,0.33515,0.33749,0.81416,0.99634,0.99337,0.99449,0.97587,0.25287,0.23417,0.85636,0.000457938,0.000457938,0.000457938
29,4823.86,0.33114,0.32948,0.81224,0.99409,0.99026,0.9945,0.97737,0.21327,0.22488,0.85464,0.00045175,0.00045175,0.00045175
30,4984.84,0.32883,0.32658,0.80781,0.99046,0.99332,0.99442,0.97413,0.25147,0.24923,0.85947,0.000445562,0.000445562,0.000445562
31,5152.5,0.32385,0.32458,0.81252,0.99365,0.99174,0.99451,0.97684,0.22453,0.23707,0.85326,0.000439375,0.000439375,0.000439375
32,5312.63,0.31804,0.31597,0.8127,0.99065,0.98856,0.99435,0.9615,0.28338,0.27528,0.86529,0.000433187,0.000433187,0.000433187
33,5480.51,0.3218,0.32523,0.81327,0.99348,0.99304,0.99436,0.97965,0.21594,0.22966,0.8557,0.000427,0.000427,0.000427
34,5642.88,0.32631,0.31819,0.81119,0.99448,0.99326,0.99488,0.97864,0.21908,0.21368,0.85481,0.000420812,0.000420812,0.000420812
